country,n_years,slope_decade,ci_low,ci_high,mk_p
Netherlands (Europe),265,0.03601656388361788,0.024202127659574503,0.047594501718212986,1.0882845735693536e-08
Netherlands,265,0.03593417553191408,0.0242196969696971,0.04742957746478903,7.4015611417621585e-09
Poland,265,0.03589026526526519,0.021372549019608014,0.049436274509803944,1.7156353226965848e-06
Ukraine,265,0.03555682976554536,0.022350340136054404,0.049937106918238855,7.498540417483213e-07
Germany,265,0.03548206209509842,0.022857142857142763,0.04785353535353537,1.1302258107193097e-07
Belgium,265,0.034528808872163294,0.02318840579710147,0.04560157790927024,1.4938266845732073e-08
Luxembourg,265,0.034306277056277056,0.022782051282051387,0.04561111111111179,3.243853274881303e-08
Europe,265,0.03397895675505051,0.023601973684210624,0.04440721649484534,2.5626811783752146e-10
Faroe Islands,265,0.03385906097053005,0.025120120120120173,0.04266835016835019,1.5409895581797173e-13
Czech Republic,265,0.03348604864234549,0.020416666666666947,0.04664268585131895,9.212068239339288e-07
United Kingdom,265,0.03286562187615093,0.02445000000000004,0.041005747126436745,6.510347816401918e-13
United Kingdom (Europe),265,0.0324093688474935,0.02363095238095144,0.04083333333333335,1.1331602323139123e-11
Liechtenstein,265,0.032350412912912914,0.020277777777778137,0.04447662601626019,1.582296931257332e-07
Isle Of Man,265,0.032077127659574475,0.023142857142857007,0.040928362573099335,1.1223244555935707e-11
Ireland,265,0.03188891266105648,0.024388111888111946,0.03993859649122799,2.842170943040401e-14
Tunisia,261,0.031858202038924865,0.022612994350282575,0.04101307189542469,1.297673080102868e-11
Switzerland,265,0.031791254257130544,0.020762411347517686,0.042992424242424304,3.374579815584866e-08
Austria,265,0.031699900793650856,0.019741887905604796,0.04385144927536232,5.795311273093517e-07
France,265,0.03146495370370368,0.022006172839506094,0.040557359307359334,1.751354616885692e-11
Slovakia,265,0.03144946332737021,0.018888888888889135,0.04419847328244273,2.8259849162992623e-06
Moldova,265,0.031202699829931835,0.018214285714286405,0.04490196078431367,5.769270556177375e-06
Malta,261,0.031134299622202953,0.022495934959349616,0.03967514124293741,1.7283952047364437e-12
Italy,265,0.030176786606696683,0.02068014705882353,0.03967687074829977,7.758584885664277e-10
San Marino,265,0.02966774660979891,0.01927916666666665,0.040249042145593855,2.6819817255940848e-08
Monaco,265,0.029537749287749313,0.01968646864686465,0.03984684684684686,4.930208463704844e-09
Slovenia,265,0.029491647465437892,0.017570921985815724,0.040580808080807884,1.3504905831407399e-06
Jersey,265,0.02919542483660142,0.020303030303030354,0.03855839416058406,7.459002304699425e-10
